id_ext,apelido,nome_formal
257161,Lei do Licenciamento Ambiental,PL 3729/2004
132865,Lei Geral de Licenciamento Ambiental,PLS 168/2018
2088990,Lei da Qualidade Fiscal,PLP 295/2016
91341,Lei da Qualidade Fiscal,PLS 229/2009
46249,PL do Veneno,PL 6299/2002
41703,PL do Veneno,PLS 526/1999
2121442,Lei do Teto Remuneratório,PL 6726/2016
127753,Lei do Teto Remuneratório,PLS 449/2016
345311,Estatuto do Índio,PL 490/2007
2085536,Lei para Acabar Zona de Amortecimento,PL 5370/2016
2120775,Política Governo de Redução de Agrotóxico,PL 6670/2016
2122766,Modernização da Lei de Licitações e Contratos,PL 6814/2017
115926,Modernização da Lei de Licitações e Contratos,PLS 559/2013
126364,Alteração na Lei Antiterrorismo,PLS 272/2016
606722,Escola Sem Partido,PL 7180/2014
541857,Revogação do Estatuto do Desarmamento,PL 3722/2012
2119881,Reforma da Previdência Temer,PEC 287/2016
2158425,Revisão do contrato da cessão onerosa da Petrobras,PL 8939/2017
133943,Revisão do contrato da cessão onerosa da Petrobras,PLC 78/2018
2056568,Indenização Propriedades Privadas em Unidades de Conservação,PL 3751/2015
1738598,Criação da Área de Proteção Ambiental de Canavieiras,PL 3068/2015
14562,Demarcações passam a ser competência exclusiva do Congresso,PEC 215/2000
2170839,Lei do Pantanal - Molon,PL 9950/2018
944279,Lei do Cerrado,PL 25/2015
102721,Cana na Amazônia,PLS 626/2011
103831,Lei do Pantanal - Maggi,PLS 750/2011
2120019,Lei das Agências Reguladoras,PL 6621/2016
111048,Lei das Agências Reguladoras,PLS 52/2013
51066,Deixa de incluir FUNDEF no limite de gastos com pessoal,PLP 307/2002
518221,Piso salarial do magistério público da educação básica - Moura,PEC 76/2011
532814,Piso salarial do magistério público da educação básica - Marchezan,PL 3020/2011
120143,Educação básica em tempo integral,PEC 28/2015
500183,Autoriza trabalho a partir dos quatorze anos,PEC 18/2011
106330,Redução da maioridade penal,PEC 33/2012
546383,Trabalho infantil artístico,PL 3974/2012
120768,Trabalho infantil artístico e despostivo,PLS 231/2015
1594911,Aumento do tempo de internação,PL 2517/2015
121572,Aumento do tempo de internação,PLS 333/2015
604888,Assinatura eletrônica em Leis de Iniciativa Popular,PL 7005/2013
96813,Assinatura eletrônica em Leis de Iniciativa Popular,PLS 129/2010
2192459,Nova Previdência,PEC 6/2019
135064,Monitoramento e Acompanhamento de ONGs,MPV 870/2019
2192352,Pacote Moro Caixa 2,PL 881/2019
2192353,Pacote Moro Crime Organizado (Apensado),PL 882/2019
2192354,Pacote Moro Anticorrupção,PLP 38/2019
131906,Mercado da água,PLS 495/2017
120152,PEC Antiaborto,PEC 29/2015
135061,Altera o marco legal do saneamento básico,MPV 868/2018
353631,Disciplina a atividade de lobby,PL 1202/2007
2178170,Pacote Moro Crime Organizado (Principal),PL 10372/2018
135060,Programa de Regularização Ambiental,MPV 867/2018
604557,PNCMar,PL 6969/2013
136033,Pacote Moro - Crime Organizado,PL 1864/2019
2193540,Anistia Tributária para Partidos,PL 1321/2019
136173,Anistia Tributária para Partidos,PL 1321/2019
522447,Situação Jurídica do Estrangeiro no Brasil,PL 2443/2011
129778,Tornar o FUNDEB permanente (Senado),PEC 24/2017
1198512,Tornar o FUNDEB permanente (Câmara),PEC 15/2015
16526,PL das Compras Públicas (Nova Lei de Licitações),PL 1292/1995
1489,PL das Compras Públicas (Nova Lei de Licitações),PLS 163/1995
